,title,score_reaction,rating,votes
1942,Kimetsu no Yaiba,0.9355784899511135,4.8,14374
1977,Tate no Yuusha no Nariagari,0.9563365282215123,4.8,12797
1905,Dr. Stone,0.9200364852538766,4.8,7981
1193,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,0.8964007782101168,4.8,7935
3014,Koe no Katachi,0.8060881597153587,4.8,7003
3359,Mushoku Tensei: Isekai Ittara Honki Dasu,0.9328144853875476,4.8,6714
1603,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 2nd Season,0.9191860465116279,4.8,5967
1778,Mahoutsukai no Yome,0.9702495201535508,4.8,5140
1734,Violet Evergarden,0.8719866999168745,4.8,4759
1827,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),0.8725226270596426,4.8,4731
1843,Made in Abyss,0.8461538461538461,4.8,4639
1222,Overlord III,0.9645464025026069,4.8,4513
3348,Dr. Stone: Stone Wars,0.9418928322894919,4.8,4392
1881,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,0.7934119560797072,4.8,4338
248,Boku dake ga Inai Machi,0.8600746268656716,4.8,4249
3353,Tensei shitara Slime Datta Ken 2nd Season,0.9582753824756607,4.8,4162
3307,Fumetsu no Anata e,0.7274463007159905,4.8,3942
1044,Overlord,0.9359756097560976,4.8,3848
3284,Tensei shitara Slime Datta Ken 2nd Season Part 2,0.974455732946299,4.8,3734
3254,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,0.953860350661335,4.8,3734
2384,Youjo Senki,0.9365708622398414,4.8,3680
1874,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,0.8452157598499062,4.8,3592
998,Rakudai Kishi no Cavalry,0.9507692307692308,4.8,3451
730,No Game No Life,0.9363538295577131,4.8,3423
1984,Mob Psycho 100 II,0.9249394673123487,4.8,3416
1705,Mairimashita! Iruma-kun,0.9019953051643192,4.8,3150
3064,ReLIFE,0.9079159935379645,4.8,3137
1820,No Game No Life: Zero,0.8507638072855465,4.8,3123
1633,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,0.8531317494600432,4.8,2918
1303,ReLIFE: Kanketsu-hen,0.9348591549295775,4.8,2746
1170,Ansatsu Kyoushitsu (TV),0.9055374592833876,4.8,2644
1115,Plastic Memories,0.3842239185750636,4.8,2642
254,Ansatsu Kyoushitsu (TV) 2nd Season,0.8302872062663186,4.8,2619
1909,Kanata no Astra,0.930921052631579,4.8,2508
1216,Grand Blue,0.6482758620689655,4.8,2503
1271,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,0.9371633752244165,4.8,2484
1894,Karakai Jouzu no Takagi-san 2,0.939877300613497,4.8,2395
994,Noragami Aragoto,0.9535374868004224,4.8,2382
1877,Youjo Senki Movie,0.9536266349583828,4.8,2351
1094,Yamada-kun to 7-nin no Majo (TV),0.9283667621776505,4.8,2115
1134,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,0.9513343799058085,4.8,2104
1836,Ballroom e Youkoso,0.9600886917960089,4.8,2103
1226,Asobi Asobase,0.4744897959183674,4.8,1920
1923,Bungou Stray Dogs 3rd Season,0.9770114942528736,4.8,1809
3336,Vivy: Fluorite Eye's Song,0.9168490153172867,4.8,1745
1630,Kakushigoto,0.851258581235698,4.8,1665
241,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen",0.9623115577889447,4.8,1524
1920,Koutetsujou no Kabaneri: Unato Kessen,0.9528023598820059,4.8,1444
1611,Fruits Basket 2nd Season,0.9501590668080594,4.8,1416
1708,Kono Oto Tomare! 2nd Season,0.9668874172185431,4.8,1391
2733,Danshi Koukousei no Nichijou,0.5862831858407079,4.8,1356
1794,Shoujo Shuumatsu Ryokou,0.8303030303030303,4.8,1347
720,Date a Live II,0.9651162790697675,4.8,1326
3346,Evangelion 3.0+1.0 Thrice Upon a Time,0.9025821596244131,4.8,1299
3015,Mahoutsukai no Yome: Hoshi Matsu Hito,0.9673024523160763,4.8,1276
3319,Zombieland Saga: Revenge,0.9366852886405959,4.8,1255
1493,High Score Girl II,0.9375,4.8,1237
3255,86 2nd Season,0.9708520179372198,4.8,1149
1525,Nichijou,0.6786703601108033,4.8,1141
1545,Kimi ni Todoke 2nd Season,0.952112676056338,4.8,1129
3377,Hataraku Saibou Black (TV),0.8634920634920635,4.8,1057
1759,Sora yori mo Tooi Basho,0.9294117647058824,4.8,1053
1621,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,0.972318339100346,4.8,1039
2675,Tasogare Otome x Amnesia,0.9036144578313253,4.8,1039
666,Hellsing Ultimate,0.954248366013072,4.8,1022
2457,Date A Live: Encore OVA,0.7295285359801489,4.8,986
3378,Hataraku Saibou!!,0.9523364485981308,4.8,984
1507,Violet Evergarden Movie,0.9043853342918764,4.8,975
1554,Gosick,0.8835978835978836,4.8,920
2404,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,0.9527896995708155,4.8,901
2677,Fate/Zero 2,0.8952380952380953,4.8,877
204,Inuyasha Kanketsu-hen,0.9538152610441767,4.8,845
1833,New Game!!,0.9558823529411765,4.8,823
2917,Great Teacher Onizuka,0.8434782608695652,4.8,815
3449,Ookami Kodomo no Ame to Yuki,0.8257756563245824,4.8,782
1957,Zoku Owarimonogatari,0.9532710280373832,4.8,767
949,Noragami Aragoto OVA,0.9252336448598131,4.8,764
781,Noragami OVA,0.9130434782608695,4.8,686
1093,Grisaia no Meikyuu,0.8727272727272727,4.8,666
2515,Steins;Gate Fuka Ryoiki no Deja vu,0.9023255813953488,4.8,656
2831,Usagi Drop,0.9251700680272109,4.8,653
1582,Golden Kamuy 3rd Season,0.8794326241134752,4.8,613
1052,Working!!!,0.875,4.8,606
3367,World Trigger 2nd Season,0.9325581395348838,4.8,561
1032,Bakemono no Ko,0.9236641221374046,4.8,542
897,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,0.9423631123919308,4.8,527
2616,Kokoro Connect: Michi Random,0.9926470588235294,4.8,520
1012,Akatsuki no Yona Ova,0.9365994236311239,4.8,516
213,Ushio to Tora (TV) 2nd Season,0.9041095890410958,4.8,510
1135,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,0.9430379746835443,4.8,461
2505,Chuunibyou Demo Koi ga Shitai!: Kirameki no... Slapstick Noe,0.9325842696629213,4.8,442
2317,Black Lagoon: The Second Barrage,0.8809523809523809,4.8,432
2720,Steins;Gate: Oukoubakko no Poriomania,0.9166666666666666,4.8,387
2557,Death Billiards,0.9239130434782609,4.8,335
2403,Kono Sekai no Katasumi ni,0.8291139240506329,4.8,304
2930,Rurouni Kenshin Tsuiokuhen,0.8,4.8,267
1504,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,0.9451038575667656,4.8,256
353,Non Non Biyori: Okinawa e Ikukoto ni Natta,0.94,4.8,226
88,Yumeiro Patissiere SP Professional,0.987012987012987,4.8,154
2694,Recorder to Randoseru Reâ™ª,0.7959183673469388,4.8,107
